DatasetName,Bioproject,StudyAccession,NextflowProfiling,ODMCuration,Version,Samples,Publication,PMID,Year,Species,Bodysite,HasInfants,Countries,Title
Soto-GironMJ_2021,PRJNA486009,SRP157939,,,cMD4,86,https://doi.org/10.4269/ajtmh.20-0831,33872206,2021,,Stool,No,Ecuador,Gut Microbiome Changes with Acute Diarrheal Disease in Urban Versus Rural Settings in Northern Ecuador 
YangJ_2020,,,,,cMD4,193,,,2020,,Stool,,China,
Valles-ColomerM_2024,,,,,cMD4,288,,,2024,,Stool,Yes,Italy,
YangY_2021,PRJNA763023,,,,cMD4,200,,,2021,,Stool,No,China,
,PRJNA429097 (articolo dice:PRJEB10878),SRP128485,,,cMD4,164,https://doi.org/10.1080/19490976.2020.1712986,,2020,,Stool,No,China,
LiuNN_2022,PRJNA731589,,,,cMD4,193,https://doi.org/10.1038/s41564-021-01030-7,,2022,,Stool,No,China,
PiccinnoG_2024_a,,,,Ongoing,cMD4,204,,,2024,,Stool,No,Czech Republic,
PiccinnoG_2024_b,,,,Ongoing,cMD4,124,,,2024,,Stool,No,Czech Republic,
PiccinnoG_2024_c,,,,Ongoing,cMD4,76,,,2024,,Stool,No,Italy,
PiccinnoG_2024_d,,,,Ongoing,cMD4,163,,,2024,,Stool,No,Italy,
PiccinnoG_2024_e,,,,Ongoing,cMD4,897,,,2024,,Stool,No,USA,
BazzaniD_2023,,,,,cMD4,234,,,2024,,Oral,No,Italy,
WallenZD_2022,PRJNA834801,SRP373424,,,"cMD4, PD",724,https://doi.org/10.1038/s41467-022-34667-x,36376318,2022,,Stool,No,USA, Metagenomics of Parkinson’s disease implicates the gut microbiome in multiple disease mechanisms
BoktorJC_2023,"PRJEB53403,PRJEB53401","ERP138197 ,ERP138199",,,"cMD4, PD",227,https://doi.org/10.1093/brain/awaa201,36691982,2023,,Stool,No,USA,Integrated Multi-Cohort Analysis of the Parkinson’s Disease Gut Metagenome
MaoL_2021,PRJNA588035,SRP228703,,,"cMD4, PD",78,https://doi.org/10.3389/fmicb.2021.728479,34650532,2021,,Stool,No,China,Cross-Sectional Study on the Gut Microbiome of Parkinson’s Disease Patients in Central China
DuruIC_2024,PRJEB59350,ERP144399,Done,,PD,134,https://doi.org/10.1038/s41598-024-69742-4,39143178,2024,,Stool,No,Finland,Metagenome-assembled microbial genomes from Parkinson’s disease fecal samples
JoS_2022,PRJNA743718,SRP326908,Done,,PD,156,https://doi.org/10.1038/s41531-022-00351-6,35798742,2022,,"Stool, Oral",No,South-Korea,Oral and gut dysbiosis leads to functional alterations in Parkinson’s disease
LeeEJ_2024,PRJNA1043247,SRP473142,Done,,PD,36,https://doi.org/10.21203/rs.3.rs-3742244/v1,,,,Stool,No,South-Korea,Body-first and Brain-first Parkinson's Disease Subtypes Exhibit Distinctive Gut Microbial Dysbiotic Patterns
NishiwakiH_2024,"PRJDB15956, DRA016410",DRP010254,Done,,PD,167,https://doi.org/10.1038/s41531-024-00724-z,38773112,2024,,Stool,No,Japan,Meta-analysis of shotgun sequencing of gut microbiota in Parkinson’s disease
QianY_2020,NA,NA,Done,,PD,80,https://dx.doi.org/10.2139/ssrn.4871254,,,,Stool,No,China,Integrative Analysis of Faecal Metabolomics and Metagenomics in Parkinson's Disease Patients
ZhangM_2023,PRJNA985875,SRP446959,Done,,PD,24,https://doi.org/10.21203/rs.2.21271/v2,,,,Stool,No,China,Metagenomic analysis of gut microbiota in Parkinson's disease patients from Central China
MazmanianS_DeCastroFonsecaM,NA,NA,Done,,PD,330,,,,Mouse,Stool,,USA,
MazmanianS_DumitrescuDG,NA,NA,Done,,PD,28,,,,Mouse,Stool,,USA,
MazmanianS_MoiseyenkoA,"PRJNA1259538, PRJNA1309735",NA,Done,,PD,48,,,,Mouse,Stool,,USA,
MazmanianS_SchonhoffA,NA,NA,Done,,PD,46,,,,Mouse,Stool,,USA,
HELMI,,,,,,433,,,2024,,,Yes,,
MAMI,,,,,,183,,,2024,,,Yes,,
Caritro-twins,,,,,,88,,,2024,,,Yes,,
Esp-twins,,,,,,90,,,2024,,,Yes,,
Swe-twins,,,,,,29,,,2024,,,Yes,,
